transaction_id,customer_id,transaction_date,signup_date,product_category,order_value
1,1,2023-05-07,2023-04-25,Home,5405.61
2,2,2023-12-31,2023-09-08,Clothing,2989.18
3,3,2024-03-26,2023-04-15,Sports,5827.86
4,4,2023-04-16,2023-03-31,Electronics,42757.8
5,4,2023-11-02,2023-03-31,Electronics,29931.22
6,4,2024-01-27,2023-03-31,Clothing,3156.92
7,5,2024-05-11,2023-08-27,Sports,4523.88
8,6,2023-05-09,2023-01-28,Sports,3983.07
9,6,2023-11-11,2023-01-28,Beauty,1086.3
10,7,2024-01-03,2023-08-14,Electronics,29126.84
11,7,2024-03-30,2023-08-14,Clothing,2428.97
12,7,2024-06-10,2023-08-14,Beauty,1692.18
13,8,2024-05-05,2023-12-15,Clothing,3849.24
14,9,2024-01-28,2023-08-09,Electronics,32043.27
15,10,2023-05-24,2023-04-05,Home,6729.77
16,10,2023-10-16,2023-04-05,Home,8258.82
17,11,2023-10-20,2023-09-28,Electronics,28797.8
18,11,2024-05-20,2023-09-28,Beauty,2734.25
19,11,2024-06-28,2023-09-28,Electronics,36522.29
20,12,2024-09-08,2023-10-28,Home,6517.03
21,12,2024-09-13,2023-10-28,Sports,5379.3
22,13,2024-07-10,2023-07-16,Electronics,24833.17
23,14,2023-03-28,2023-02-16,Electronics,41128.72
24,14,2023-06-12,2023-02-16,Beauty,1397.15
25,14,2023-06-15,2023-02-16,Home,8487.35
26,14,2023-07-14,2023-02-16,Beauty,941.54
27,14,2024-01-20,2023-02-16,Home,4900.9
28,15,2023-10-01,2023-06-16,Electronics,35706.13
29,15,2023-10-30,2023-06-16,Sports,5735.25
30,15,2023-12-14,2023-06-16,Clothing,3411.32
31,15,2023-12-22,2023-06-16,Sports,3852.74
32,15,2024-05-12,2023-06-16,Clothing,1562.53
33,15,2024-05-24,2023-06-16,Clothing,3330.28
34,15,2024-05-30,2023-06-16,Beauty,1818.15
35,15,2024-06-09,2023-06-16,Beauty,1319.55
36,16,2024-08-26,2023-10-04,Sports,4049.76
37,16,2024-09-20,2023-10-04,Clothing,2993.06
38,17,2023-12-27,2023-11-29,Clothing,2461.19
39,18,2023-03-07,2023-02-02,Beauty,1732.56
40,18,2023-05-21,2023-02-02,Clothing,3208.76
41,18,2023-05-21,2023-02-02,Home,10405.67
42,18,2023-06-19,2023-02-02,Clothing,3448.46
43,18,2023-07-13,2023-02-02,Clothing,2120.59
44,18,2023-07-13,2023-02-02,Sports,4925.87
45,18,2023-08-23,2023-02-02,Sports,5907.94
46,18,2023-08-26,2023-02-02,Home,10276.27
47,18,2023-10-15,2023-02-02,Sports,4665.27
48,18,2023-11-19,2023-02-02,Beauty,2035.51
49,18,2023-12-28,2023-02-02,Sports,3703.62
50,18,2024-01-03,2023-02-02,Beauty,1412.34
51,19,2024-03-16,2024-01-06,Beauty,2664.79
52,19,2024-04-27,2024-01-06,Electronics,36570.2
53,19,2024-09-22,2024-01-06,Electronics,25005.47
54,20,2023-07-10,2023-04-23,Beauty,2103.25
55,20,2023-07-13,2023-04-23,Sports,5954.14
56,20,2024-03-09,2023-04-23,Electronics,47329.65
57,21,2024-08-12,2024-01-30,Home,15000.0
58,21,2024-09-25,2024-01-30,Sports,3988.73
59,21,2024-10-26,2024-01-30,Electronics,30545.13
60,21,2024-11-30,2024-01-30,Electronics,33472.51
61,22,2024-11-16,2024-07-03,Home,8203.11
62,23,2023-09-22,2023-04-25,Beauty,1965.61
63,24,2023-06-12,2023-06-11,Home,7487.43
64,24,2024-01-29,2023-06-11,Sports,5947.57
65,25,2023-08-25,2023-07-02,Home,6158.4
66,25,2024-03-17,2023-07-02,Sports,6540.36
67,26,2023-10-09,2023-07-23,Home,6113.51
68,27,2023-06-15,2023-06-15,Beauty,1840.58
69,27,2023-11-27,2023-06-15,Electronics,38345.89
70,27,2024-03-12,2023-06-15,Electronics,44037.62
71,27,2024-03-17,2023-06-15,Home,8599.94
72,27,2024-04-16,2023-06-15,Home,8733.86
73,28,2023-10-02,2023-09-03,Clothing,2822.81
74,29,2023-04-26,2023-03-22,Clothing,3476.48
75,29,2023-05-04,2023-03-22,Clothing,2518.03
76,29,2023-11-25,2023-03-22,Beauty,2565.09
77,29,2023-12-19,2023-03-22,Sports,5006.5
