customer_id,customer_segment,recency,frequency,monetary,estimated_clv
227,"At Risk – Re-engage",132,2,12290.13,73740.78
12,"At Risk – Re-engage",108,2,11896.33,71377.98
270,"At Risk – Re-engage",12,2,9128.43,54770.58
167,"At Risk – Re-engage",158,2,7602.24,45613.44
83,"At Risk – Re-engage",27,2,7339.67,44038.02
16,"At Risk – Re-engage",101,2,7042.82,42256.92
93,"At Risk – Re-engage",128,3,6304.32,37825.92
82,"At Risk – Re-engage",218,2,12566.03,37698.09
250,"At Risk – Re-engage",102,1,10930.1,32790.3
199,"At Risk – Re-engage",8,1,10628.65,31885.95
102,"At Risk – Re-engage",97,1,10035.93,30107.79
170,"At Risk – Re-engage",48,2,9840.38,29521.14
175,"At Risk – Re-engage",190,1,9188.55,27565.65
196,"At Risk – Re-engage",178,2,4547.51,27285.06
159,"At Risk – Re-engage",57,2,4537.32,27223.92
296,"At Risk – Re-engage",90,1,8754.24,26262.72
50,"At Risk – Re-engage",181,1,8260.85,24782.55
22,"At Risk – Re-engage",44,1,8203.11,24609.33
262,"At Risk – Re-engage",78,1,7919.07,23757.21
205,"At Risk – Re-engage",110,1,7529.16,22587.48
112,"At Risk – Re-engage",11,2,10921.97,21843.94
238,"At Risk – Re-engage",76,1,7065.78,21197.34
57,"At Risk – Re-engage",206,2,6629.77,19889.31
165,"At Risk – Re-engage",110,2,5293.35,15880.05
134,"At Risk – Re-engage",126,1,5106.32,15318.96
45,"At Risk – Re-engage",152,1,4654.37,13963.11
163,"At Risk – Re-engage",124,1,4178.09,12534.27
254,"At Risk – Re-engage",136,3,11976.2,11976.2
185,"At Risk – Re-engage",101,1,3777.14,11331.42
269,"At Risk – Re-engage",114,1,3603.72,10811.16
71,"At Risk – Re-engage",215,1,3566.71,10700.13
190,"At Risk – Re-engage",126,3,10456.21,10456.21
32,"At Risk – Re-engage",67,2,6588.07,9882.1
198,"At Risk – Re-engage",117,1,3290.19,9870.57
39,"At Risk – Re-engage",199,1,3202.41,9607.23
111,"At Risk – Re-engage",17,2,9240.42,9240.42
166,"At Risk – Re-engage",127,4,8998.54,8998.54
139,"At Risk – Re-engage",170,2,8714.53,8714.53
103,"At Risk – Re-engage",199,1,2861.85,8585.55
201,"At Risk – Re-engage",82,1,2794.41,8383.23
219,"At Risk – Re-engage",42,1,2749.29,8247.87
210,"At Risk – Re-engage",181,1,2697.81,8093.43
90,"At Risk – Re-engage",92,1,2651.26,7953.78
276,"At Risk – Re-engage",143,1,2570.5,7711.5
110,"At Risk – Re-engage",49,3,8978.1,7695.51
92,"At Risk – Re-engage",192,1,2538.27,7614.81
225,"At Risk – Re-engage",150,1,2441.44,7324.32
242,"At Risk – Re-engage",47,1,2384.46,7153.38
96,"At Risk – Re-engage",114,1,2349.9,7049.7
177,"At Risk – Re-engage",171,1,2303.07,6909.21
119,"At Risk – Re-engage",211,1,2299.44,6898.32
88,"At Risk – Re-engage",83,1,2193.77,6581.31
179,"At Risk – Re-engage",19,1,2107.94,6323.82
232,"At Risk – Re-engage",102,1,2018.1,6054.3
294,"At Risk – Re-engage",200,1,1938.5,5815.5
132,"At Risk – Re-engage",110,1,1805.27,5415.81
142,"At Risk – Re-engage",217,1,1751.28,5253.84
75,"At Risk – Re-engage",147,1,1674.04,5022.12
143,"At Risk – Re-engage",60,1,1483.05,4449.15
133,"At Risk – Re-engage",124,1,1265.65,3796.95
72,"At Risk – Re-engage",164,2,4782.61,2608.7
80,"At Risk – Re-engage",214,1,800.0,2400.0
