customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment,total_orders,total_revenue,avg_order_value,lifespan_months,recency_days,expected_future_months,avg_monthly_revenue,estimated_clv
164,0,3,18872.67,1,2,2,5,"Low Engagement",3,18872.67,6290.89,5,389,6,3774.53,22647.2
206,0,2,45309.48,1,2,2,5,"Low Engagement",2,45309.48,22654.74,7,389,6,6472.78,38836.7
188,4,3,51713.98,1,2,1,4,"Low Engagement",3,51713.98,17237.99,6,393,6,8619.0,51713.98
97,5,7,63712.17,1,1,1,3,"Low Engagement",7,63712.17,9101.74,9,394,3,7079.13,21237.39
292,6,3,37435.33,1,2,2,5,"Low Engagement",3,37435.33,12478.44,7,395,6,5347.9,32087.43
257,7,3,22725.31,1,2,2,5,"Low Engagement",3,22725.31,7575.1,2,396,6,11362.66,68175.93
217,8,2,28313.53,1,2,2,5,"Low Engagement",2,28313.53,14156.76,2,397,6,14156.76,84940.59
199,8,1,10628.65,1,3,3,7,"At Risk – Re-engage",1,10628.65,10628.65,1,397,3,10628.65,31885.95
281,10,4,18499.47,1,1,2,4,"Low Engagement",4,18499.47,4624.87,7,399,6,2642.78,15856.69
218,10,2,50910.33,1,2,1,4,"Low Engagement",2,50910.33,25455.17,5,399,6,10182.07,61092.4
74,11,7,69072.59,1,1,1,3,"Low Engagement",7,69072.59,9867.51,5,400,3,13814.52,41443.55
112,11,2,10921.97,1,2,3,6,"At Risk – Re-engage",2,10921.97,5460.99,3,400,6,3640.66,21843.94
270,12,2,9128.43,1,3,3,7,"At Risk – Re-engage",2,9128.43,4564.22,1,401,6,9128.43,54770.58
200,13,3,60318.42,1,1,1,3,"Low Engagement",3,60318.42,20106.14,9,402,6,6702.05,40212.28
140,16,4,77199.71,1,1,1,3,"Low Engagement",4,77199.71,19299.93,7,405,6,11028.53,66171.18
111,17,2,9240.42,1,2,3,6,"At Risk – Re-engage",2,9240.42,4620.21,6,406,6,1540.07,9240.42
246,19,12,84579.01,1,1,1,3,"Low Engagement",12,84579.01,7048.25,10,408,3,8457.9,25373.7
179,19,1,2107.94,1,4,4,9,"At Risk – Re-engage",1,2107.94,2107.94,1,408,3,2107.94,6323.82
293,22,7,98826.68,1,1,1,3,"Low Engagement",7,98826.68,14118.1,6,411,3,16471.11,49413.34
228,23,5,82585.58,1,1,1,3,"Low Engagement",5,82585.58,16517.12,6,412,3,13764.26,41292.79
264,23,2,15368.63,1,2,2,5,"Low Engagement",2,15368.63,7684.32,3,412,6,5122.88,30737.26
275,24,4,16233.84,1,1,2,4,"Low Engagement",4,16233.84,4058.46,9,413,6,1803.76,10822.56
277,24,1,50004.8,1,3,1,5,"Growth Potential – Upsell",1,50004.8,50004.8,1,413,3,50004.8,150014.4
83,27,2,7339.67,1,3,3,7,"At Risk – Re-engage",2,7339.67,3669.84,1,416,6,7339.67,44038.02
116,29,4,68775.61,1,1,1,3,"Low Engagement",4,68775.61,17193.9,6,418,6,11462.6,68775.61
21,30,4,83006.37,1,1,1,3,"Low Engagement",4,83006.37,20751.59,3,419,6,27668.79,166012.74
150,32,10,88612.09,1,1,1,3,"Low Engagement",10,88612.09,8861.21,6,421,3,14768.68,44306.04
234,35,8,102809.56,1,1,1,3,"Low Engagement",8,102809.56,12851.19,8,424,3,12851.19,38553.58
107,42,3,45713.51,1,2,1,4,"Low Engagement",3,45713.51,15237.84,7,431,6,6530.5,39183.01
85,42,3,13558.64,1,2,2,5,"Low Engagement",3,13558.64,4519.55,10,431,6,1355.86,8135.18
219,42,1,2749.29,1,4,4,9,"At Risk – Re-engage",1,2749.29,2749.29,1,431,3,2749.29,8247.87
243,43,4,62514.98,1,1,1,3,"Low Engagement",4,62514.98,15628.75,7,432,6,8930.71,53584.27
124,43,2,71883.84,1,2,1,4,"Low Engagement",2,71883.84,35941.92,2,432,6,35941.92,215651.52
300,44,2,38305.43,1,2,2,5,"Low Engagement",2,38305.43,19152.72,1,433,6,38305.43,229832.58
22,44,1,8203.11,1,3,3,7,"At Risk – Re-engage",1,8203.11,8203.11,1,433,3,8203.11,24609.33
242,47,1,2384.46,1,4,4,9,"At Risk – Re-engage",1,2384.46,2384.46,1,436,3,2384.46,7153.38
170,48,2,9840.38,1,2,3,6,"At Risk – Re-engage",2,9840.38,4920.19,2,437,6,4920.19,29521.14
110,49,3,8978.1,1,2,3,6,"At Risk – Re-engage",3,8978.1,2992.7,7,438,6,1282.59,7695.51
229,49,1,30983.89,1,3,2,6,"Growth Potential – Upsell",1,30983.89,30983.89,1,438,3,30983.89,92951.67
295,50,7,95942.39,1,1,1,3,"Low Engagement",7,95942.39,13706.06,6,439,3,15990.4,47971.19
255,51,1,40182.8,1,3,2,6,"Growth Potential – Upsell",1,40182.8,40182.8,1,440,3,40182.8,120548.4
159,57,2,4537.32,1,3,4,8,"At Risk – Re-engage",2,4537.32,2268.66,1,446,6,4537.32,27223.92
143,60,1,1483.05,1,4,4,9,"At Risk – Re-engage",1,1483.05,1483.05,1,449,3,1483.05,4449.15
32,67,2,6588.07,1,3,3,7,"At Risk – Re-engage",2,6588.07,3294.03,4,456,6,1647.02,9882.1
118,69,3,17812.54,1,2,2,5,"Low Engagement",3,17812.54,5937.51,1,458,6,17812.54,106875.24
186,70,5,47363.52,1,1,1,3,"Low Engagement",5,47363.52,9472.7,7,459,3,6766.22,20298.65
125,73,2,47415.06,1,2,1,4,"Low Engagement",2,47415.06,23707.53,10,462,6,4741.51,28449.04
138,73,2,47061.87,1,2,1,4,"Low Engagement",2,47061.87,23530.93,7,462,6,6723.12,40338.75
238,76,1,7065.78,1,3,3,7,"At Risk – Re-engage",1,7065.78,7065.78,1,465,3,7065.78,21197.34
262,78,1,7919.07,1,3,3,7,"At Risk – Re-engage",1,7919.07,7919.07,1,467,3,7919.07,23757.21
201,82,1,2794.41,1,4,4,9,"At Risk – Re-engage",1,2794.41,2794.41,1,471,3,2794.41,8383.23
94,83,8,58580.6,1,1,1,3,"Low Engagement",8,58580.6,7322.57,11,472,3,5325.51,15976.53
88,83,1,2193.77,1,4,4,9,"At Risk – Re-engage",1,2193.77,2193.77,1,472,3,2193.77,6581.31
58,86,3,38337.31,1,2,2,5,"Low Engagement",3,38337.31,12779.1,2,475,6,19168.65,115011.93
296,90,1,8754.24,1,3,3,7,"At Risk – Re-engage",1,8754.24,8754.24,1,479,3,8754.24,26262.72
222,92,4,14336.75,1,1,2,4,"Low Engagement",4,14336.75,3584.19,5,481,6,2867.35,17204.1
90,92,1,2651.26,1,4,4,9,"At Risk – Re-engage",1,2651.26,2651.26,1,481,3,2651.26,7953.78
230,93,2,42293.97,1,2,2,5,"Low Engagement",2,42293.97,21146.98,1,482,6,42293.97,253763.82
189,97,3,44261.69,1,2,2,5,"Low Engagement",3,44261.69,14753.9,11,486,6,4023.79,24142.74
102,97,1,10035.93,1,3,3,7,"At Risk – Re-engage",1,10035.93,10035.93,1,486,3,10035.93,30107.79
19,99,3,64240.46,1,1,1,3,"Low Engagement",3,64240.46,21413.49,6,488,6,10706.74,64240.46
16,101,2,7042.82,1,3,3,7,"At Risk – Re-engage",2,7042.82,3521.41,1,490,6,7042.82,42256.92
185,101,1,3777.14,1,4,4,9,"At Risk – Re-engage",1,3777.14,3777.14,1,490,3,3777.14,11331.42
250,102,1,10930.1,1,3,3,7,"At Risk – Re-engage",1,10930.1,10930.1,1,491,3,10930.1,32790.3
232,102,1,2018.1,1,4,4,9,"At Risk – Re-engage",1,2018.1,2018.1,1,491,3,2018.1,6054.3
12,108,2,11896.33,1,2,3,6,"At Risk – Re-engage",2,11896.33,5948.16,1,497,6,11896.33,71377.98
278,110,5,56514.85,1,1,1,3,"Low Engagement",5,56514.85,11302.97,5,499,3,11302.97,33908.91
165,110,2,5293.35,1,3,4,8,"At Risk – Re-engage",2,5293.35,2646.68,2,499,6,2646.68,15880.05
205,110,1,7529.16,1,3,3,7,"At Risk – Re-engage",1,7529.16,7529.16,1,499,3,7529.16,22587.48
132,110,1,1805.27,1,4,4,9,"At Risk – Re-engage",1,1805.27,1805.27,1,499,3,1805.27,5415.81
269,114,1,3603.72,1,4,4,9,"At Risk – Re-engage",1,3603.72,3603.72,1,503,3,3603.72,10811.16
96,114,1,2349.9,1,4,4,9,"At Risk – Re-engage",1,2349.9,2349.9,1,503,3,2349.9,7049.7
198,117,1,3290.19,2,4,4,10,"At Risk – Re-engage",1,3290.19,3290.19,1,506,3,3290.19,9870.57
136,121,4,43564.07,2,1,2,5,"Low Engagement",4,43564.07,10891.02,9,510,6,4840.45,29042.71
233,122,2,19049.85,2,2,2,6,"Low Engagement",2,19049.85,9524.92,1,511,6,19049.85,114299.1
209,123,5,84378.47,2,1,1,4,"Low Engagement",5,84378.47,16875.69,3,512,3,28126.16,84378.47
101,124,3,13527.72,2,2,2,6,"Low Engagement",3,13527.72,4509.24,3,513,6,4509.24,27055.44
163,124,1,4178.09,2,4,4,10,"At Risk – Re-engage",1,4178.09,4178.09,1,513,3,4178.09,12534.27
133,124,1,1265.65,2,4,4,10,"At Risk – Re-engage",1,1265.65,1265.65,1,513,3,1265.65,3796.95
109,125,8,136347.3,2,1,1,4,"Low Engagement",8,136347.3,17043.41,11,514,3,12395.21,37185.63
191,125,8,129986.29,2,1,1,4,"Low Engagement",8,129986.29,16248.29,9,514,3,14442.92,43328.76
190,126,3,10456.21,2,2,3,7,"At Risk – Re-engage",3,10456.21,3485.4,6,515,6,1742.7,10456.21
134,126,1,5106.32,2,4,4,10,"At Risk – Re-engage",1,5106.32,5106.32,1,515,3,5106.32,15318.96
166,127,4,8998.54,2,1,3,6,"At Risk – Re-engage",4,8998.54,2249.64,6,516,6,1499.76,8998.54
89,128,8,93068.7,2,1,1,4,"Low Engagement",8,93068.7,11633.59,11,517,3,8460.79,25382.37
93,128,3,6304.32,2,2,3,7,"At Risk – Re-engage",3,6304.32,2101.44,1,517,6,6304.32,37825.92
46,130,5,78509.11,2,1,1,4,"Low Engagement",5,78509.11,15701.82,9,519,3,8723.23,26169.7
36,132,8,128613.32,2,1,1,4,"Low Engagement",8,128613.32,16076.67,12,521,3,10717.78,32153.33
227,132,2,12290.13,2,2,3,7,"At Risk – Re-engage",2,12290.13,6145.07,1,521,6,12290.13,73740.78
131,133,5,24719.36,2,1,2,5,"Low Engagement",5,24719.36,4943.87,8,522,3,3089.92,9269.76
65,133,4,17856.05,2,1,2,5,"Low Engagement",4,17856.05,4464.01,9,522,6,1984.01,11904.03
47,135,3,49591.81,2,2,1,5,"Low Engagement",3,49591.81,16530.6,2,524,6,24795.9,148775.43
273,135,3,46431.44,2,2,1,5,"Low Engagement",3,46431.44,15477.15,8,524,6,5803.93,34823.58
254,136,3,11976.2,2,2,3,7,"At Risk – Re-engage",3,11976.2,3992.07,6,525,6,1996.03,11976.2
282,138,12,122203.36,2,1,1,4,"Low Engagement",12,122203.36,10183.61,8,527,3,15275.42,45826.26
104,139,8,145949.54,2,1,1,4,"Low Engagement",8,145949.54,18243.69,11,528,3,13268.14,39804.42
169,139,2,29487.76,2,2,2,6,"Low Engagement",2,29487.76,14743.88,5,528,6,5897.55,35385.31
161,140,1,29000.27,2,3,2,7,"Growth Potential – Upsell",1,29000.27,29000.27,1,529,3,29000.27,87000.81
