customer_id,customer_segment,estimated_clv,total_orders,monetary
237,"Growth Potential – Upsell",419068.14,2,69844.69
256,"Low Engagement",281360.61,4,93786.87
230,"Low Engagement",253763.82,2,42293.97
300,"Low Engagement",229832.58,2,38305.43
124,"Low Engagement",215651.52,2,71883.84
162,"Low Engagement",173887.89,3,57962.63
21,"Low Engagement",166012.74,4,83006.37
69,"Growth Potential – Upsell",165774.24,2,27629.04
277,"Growth Potential – Upsell",150014.4,1,50004.8
47,"Low Engagement",148775.43,3,49591.81
76,"Loyal Customers",145193.85,1,48397.95
255,"Growth Potential – Upsell",120548.4,1,40182.8
154,"Growth Potential – Upsell",119488.95,2,39829.65
174,"Loyal Customers",116792.34,1,38930.78
120,"Growth Potential – Upsell",116364.42,4,58182.21
58,"Low Engagement",115011.93,3,38337.31
233,"Low Engagement",114299.1,2,19049.85
263,"Loyal Customers",108089.58,1,36029.86
118,"Low Engagement",106875.24,3,17812.54
283,"Loyal Customers",106851.84,1,35617.28
