cohort_month,activity_month,active_customers
2023-01,2023-02,2
2023-01,2023-03,2
2023-01,2023-04,3
2023-01,2023-05,3
2023-01,2023-06,4
2023-01,2023-07,2
2023-01,2023-08,2
2023-01,2023-09,3
2023-01,2023-10,2
2023-01,2023-11,3
2023-01,2023-12,3
2023-01,2024-01,2
2023-02,2023-02,1
2023-02,2023-03,6
2023-02,2023-04,2
2023-02,2023-05,3
2023-02,2023-06,4
2023-02,2023-07,2
2023-02,2023-08,5
2023-02,2023-09,4
2023-02,2023-10,4
2023-02,2023-11,2
2023-02,2023-12,4
2023-02,2024-01,4
2023-03,2023-03,1
2023-03,2023-04,3
2023-03,2023-05,1
2023-03,2023-06,1
2023-03,2023-08,3
2023-03,2023-09,2
2023-03,2023-10,3
2023-03,2023-11,4
2023-03,2023-12,1
2023-03,2024-01,6
2023-03,2024-02,2
2023-04,2023-04,1
2023-04,2023-05,4
2023-04,2023-06,3
2023-04,2023-07,2
2023-04,2023-08,1
2023-04,2023-09,3
2023-04,2023-10,1
2023-04,2023-11,2
2023-04,2023-12,2
2023-04,2024-01,2
2023-04,2024-02,4
2023-04,2024-03,3
2023-04,2024-04,3
2023-05,2023-05,1
2023-05,2023-06,4
2023-05,2023-08,3
2023-05,2023-09,4
2023-05,2023-10,5
2023-05,2023-11,4
2023-05,2023-12,4
2023-05,2024-01,2
2023-05,2024-02,1
2023-05,2024-03,2
2023-05,2024-04,2
2023-06,2023-06,3
2023-06,2023-07,3
2023-06,2023-08,4
2023-06,2023-09,3
2023-06,2023-10,3
2023-06,2023-11,6
2023-06,2023-12,2
2023-06,2024-01,5
2023-06,2024-02,2
2023-06,2024-03,5
2023-06,2024-04,3
2023-06,2024-05,2
2023-06,2024-06,3
2023-07,2023-08,3
2023-07,2023-09,1
2023-07,2023-10,3
2023-07,2023-11,4
2023-07,2023-12,1
2023-07,2024-01,2
2023-07,2024-02,1
2023-07,2024-03,3
2023-07,2024-04,1
2023-07,2024-05,3
2023-07,2024-07,1
2023-08,2023-08,2
2023-08,2023-09,3
2023-08,2023-10,3
2023-08,2023-11,2
2023-08,2023-12,4
2023-08,2024-01,3
2023-08,2024-03,6
2023-08,2024-04,3
2023-08,2024-05,5
2023-08,2024-06,2
2023-08,2024-07,4
2023-08,2024-08,1
2023-09,2023-09,5
2023-09,2023-10,8
2023-09,2023-11,8
2023-09,2023-12,7
2023-09,2024-01,5
2023-09,2024-02,3
2023-09,2024-03,4
2023-09,2024-04,3
2023-09,2024-05,5
2023-09,2024-06,6
2023-09,2024-07,5
2023-09,2024-08,9
2023-09,2024-09,1
2023-10,2023-10,1
2023-10,2023-11,4
2023-10,2023-12,5
2023-10,2024-01,2
2023-10,2024-02,8
2023-10,2024-03,3
2023-10,2024-04,3
2023-10,2024-05,4
2023-10,2024-06,3
2023-10,2024-07,3
2023-10,2024-08,4
2023-10,2024-09,3
2023-10,2024-10,3
2023-11,2023-11,1
2023-11,2023-12,5
2023-11,2024-01,4
2023-11,2024-02,2
2023-11,2024-03,4
2023-11,2024-04,6
2023-11,2024-05,3
2023-11,2024-06,5
2023-11,2024-07,1
2023-11,2024-08,7
2023-11,2024-09,3
2023-11,2024-10,5
2023-12,2024-01,2
2023-12,2024-04,2
2023-12,2024-05,2
2023-12,2024-06,2
2023-12,2024-08,1
2023-12,2024-09,2
2023-12,2024-10,2
2023-12,2024-11,3
2024-01,2024-02,3
2024-01,2024-03,4
2024-01,2024-04,4
2024-01,2024-05,6
2024-01,2024-06,6
2024-01,2024-07,6
2024-01,2024-08,8
2024-01,2024-09,6
2024-01,2024-10,5
2024-01,2024-11,4
2024-01,2024-12,4
2024-02,2024-02,1
2024-02,2024-03,3
2024-02,2024-04,6
2024-02,2024-05,2
2024-02,2024-06,4
2024-02,2024-07,6
2024-02,2024-08,2
2024-02,2024-09,2
2024-02,2024-10,2
2024-02,2024-11,3
2024-02,2024-12,4
2024-03,2024-03,2
2024-03,2024-04,3
2024-03,2024-05,4
2024-03,2024-06,4
2024-03,2024-07,2
2024-03,2024-08,1
2024-03,2024-09,3
2024-03,2024-10,4
2024-03,2024-11,4
2024-03,2024-12,5
2024-04,2024-05,4
2024-04,2024-06,6
2024-04,2024-07,4
2024-04,2024-08,2
2024-04,2024-09,4
2024-04,2024-10,2
2024-04,2024-11,1
2024-04,2024-12,6
2024-05,2024-06,2
2024-05,2024-07,5
2024-05,2024-08,2
2024-05,2024-09,1
2024-05,2024-11,1
2024-05,2024-12,2
2024-06,2024-06,3
2024-06,2024-08,4
2024-06,2024-09,3
2024-06,2024-10,3
2024-06,2024-11,3
2024-06,2024-12,3
2024-07,2024-07,1
2024-07,2024-08,1
2024-07,2024-09,2
2024-07,2024-10,1
2024-07,2024-11,2
2024-07,2024-12,1
